protein_id,category,host_raw,host_domain,genome_genus,genome_family,protein_length,best_evalue,n_pfam,n_cdd,n_superfamily,cazy_layer,tmhmm_predhel_approx,signal_peptide_approx,genome_completeness,genome_checkv_quality,fold_homolog,mean_plddt,n_pockets,substrate_inferred,novelty,transfer_value,total_score
PP468606_8,lysin,Staphylococcus,bacteria,Sextaecvirus,Unclassified,266,9.00e-18,2,0,1,none,0,no,75.97,Medium-quality,AF-A0A5R9B6M7-F1,96.8,9,未知,0.34,革兰阳性,0.6148
PQ217616_64,lysin,Bacillus,bacteria,Wphvirus,Herelleviridae,278,7.20e-19,2,1,1,none,0,no,100.0,Complete,AF-A0A1Q4L0N2-F1,88.7,17,未知,0.37,革兰阳性,0.6145
NC_071057_22,lysin,Streptococcus,bacteria,Vansinderenvirus,Aliceevansviridae,201,4.30e-17,2,0,1,"CAZy(lytic_exoenzyme,class待定);GH(class)",0,no,66.8,Medium-quality,AF-A0A0E2Q2U3-F1,86.1,14,肽聚糖（推断）,0.075,革兰阳性,0.6145
MN038179_66,lysin,Bacillus,bacteria,Wphvirus,Herelleviridae,278,7.20e-19,2,1,1,none,0,no,100.0,Complete,AF-A0A1Q4L0N2-F1,88.7,17,未知,0.366,革兰阳性,0.6139
KU847400_3,lysin,Bacillus,bacteria,Wphvirus,Herelleviridae,278,7.20e-19,2,1,1,none,0,no,93.74,High-quality,AF-A0A1Q4L0N2-F1,88.7,17,未知,0.366,革兰阳性,0.6139
KX961632_66,lysin,Bacillus,bacteria,Wphvirus,Herelleviridae,278,7.20e-19,2,1,1,none,0,no,100.0,Complete,AF-A0A1Q4L0N2-F1,88.7,17,未知,0.366,革兰阳性,0.6139
PV615263_57,lysin,Escherichia,bacteria,Kayfunavirus,Autotranscriptaviridae,306,7.50e-291,,,,none,0,no,93.44,High-quality,,,,未知,0.226,其他革兰阴性/细菌,0.6139
PQ358941_46,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,794,4.20e-13,1,0,0,none,0,no,94.26,High-quality,,,,未知,0.475,CRKP/PA/AB 临床重点菌,0.6138
NC_031070_67,lysin,Bacillus,bacteria,Wphvirus,Herelleviridae,276,7.20e-19,2,1,1,none,0,no,100.0,Complete,AF-A0A1Q4L0N2-F1,88.7,17,未知,0.365,革兰阳性,0.6138
NC_071070_26,lysin,Streptococcus,bacteria,Brussowvirus,Aliceevansviridae,201,4.30e-16,2,0,1,"CAZy(lytic_exoenzyme,class待定);GH(class)",0,no,66.99,Medium-quality,AF-A0A0E2Q2U3-F1,86.1,14,肽聚糖（推断）,0.115,革兰阳性,0.6138
MH937473_27,lysin,Streptococcus,bacteria,Brussowvirus,Aliceevansviridae,201,4.30e-16,2,0,1,"CAZy(lytic_exoenzyme,class待定);GH(class)",0,no,74.04,Medium-quality,AF-A0A0E2Q2U3-F1,86.1,14,肽聚糖（推断）,0.115,革兰阳性,0.6138
PP445227_37,depolymerase,Escherichia,bacteria,Unclassified,Unclassified,625,1.10e-09,1,0,1,PL4,0,no,69.18,Medium-quality,,,,荚膜多糖（推断）,0.526,其他革兰阴性/细菌,0.6136
NC_031024_65,lysin,Bacillus,bacteria,Wphvirus,Herelleviridae,277,7.20e-19,2,1,1,none,0,no,100.0,Complete,AF-A0A1Q4L0N2-F1,88.7,17,未知,0.364,革兰阳性,0.6136
NC_070727_65,lysin,Staphylococcus,bacteria,Zhangqianvirus,Unclassified,479,9.90e-47,3,1,2,none,0,no,96.81,High-quality,AF-A0A9D1CZF5-F1,83.4,35,未知,0.155,革兰阳性,0.6134
NC_070656_24,lysin,Streptococcus,bacteria,Moineauvirus,Aliceevansviridae,201,4.30e-16,2,0,1,"CAZy(lytic_exoenzyme,class待定);GH(class)",0,no,68.5,Medium-quality,AF-A0A2X3UWW3-F1,86.8,18,肽聚糖（推断）,0.105,革兰阳性,0.6134
NC_070704_21,lysin,Streptococcus,bacteria,Moineauvirus,Aliceevansviridae,282,1.50e-15,2,0,1,"CAZy(lytic_exoenzyme,class待定);GH(class)",0,no,70.04,Medium-quality,AF-A0A0E2Q2U3-F1,86.1,14,肽聚糖（推断）,0.135,革兰阳性,0.6132
MH538193_71,lysin,Bacillus,bacteria,Wphvirus,Herelleviridae,277,7.20e-19,2,1,1,none,0,no,86.69,Medium-quality,AF-A0A1Q4L0N2-F1,88.7,17,未知,0.36,革兰阳性,0.613
MH937491_22,lysin,Streptococcus,bacteria,Moineauvirus,Aliceevansviridae,282,1.50e-15,2,0,1,"CAZy(lytic_exoenzyme,class待定);GH(class)",0,no,66.82,Medium-quality,AF-A0A0E2Q2U3-F1,86.1,14,肽聚糖（推断）,0.132,革兰阳性,0.6128
NC_016563_1,lysin,Bacillus,bacteria,Wphvirus,Herelleviridae,277,7.20e-19,2,1,1,none,0,no,95.61,High-quality,AF-A0A1Q4L0N2-F1,88.7,17,未知,0.358,革兰阳性,0.6127
NC_031006_65,lysin,Bacillus,bacteria,Wphvirus,Herelleviridae,276,7.20e-19,2,1,1,none,0,no,100.0,Complete,AF-A0A1Q4L0N2-F1,88.7,17,未知,0.357,革兰阳性,0.6126
NC_031116_66,lysin,Bacillus,bacteria,Wphvirus,Herelleviridae,276,7.20e-19,2,1,1,none,0,no,100.0,Complete,AF-A0A1Q4L0N2-F1,88.7,17,未知,0.357,革兰阳性,0.6126
MG763894_69,lysin,Bacillus,bacteria,Wphvirus,Herelleviridae,277,7.20e-19,2,1,1,none,0,no,100.0,Complete,AF-A0A1Q4L0N2-F1,88.7,17,未知,0.356,革兰阳性,0.6124
KX961629_67,lysin,Bacillus,bacteria,Wphvirus,Herelleviridae,277,7.20e-19,2,1,1,none,0,no,100.0,Complete,AF-A0A1Q4L0N2-F1,88.7,17,未知,0.356,革兰阳性,0.6124
NC_071069_26,lysin,Streptococcus,bacteria,Brussowvirus,Aliceevansviridae,201,4.30e-16,2,0,1,"CAZy(lytic_exoenzyme,class待定);GH(class)",0,no,69.36,Medium-quality,AF-A0A0E2Q2U3-F1,86.1,14,肽聚糖（推断）,0.105,革兰阳性,0.6123
OY978792_23,depolymerase,Klebsiella,bacteria,Webervirus,Drexlerviridae,1172,6.80e-11,,,,none,0,no,93.71,High-quality,AF-A0A8B4TWT2-F1,74.8,81,未知,0.448,CRKP/PA/AB 临床重点菌,0.6122
ON165415_1,depolymerase,Klebsiella,bacteria,Drulisvirus,Autoscriptoviridae,222,3.70e-11,1,0,0,PL(class),0,no,93.05,High-quality,,,,荚膜多糖（推断）,0.05,CRKP/PA/AB 临床重点菌,0.612
NC_070677_21,lysin,Streptococcus,bacteria,Moineauvirus,Aliceevansviridae,282,6.20e-16,2,0,1,"CAZy(lytic_exoenzyme,class待定);GH(class)",0,no,71.16,Medium-quality,AF-A0A0E2Q2U3-F1,86.1,14,肽聚糖（推断）,0.11,革兰阳性,0.612
NC_000871_23,lysin,Streptococcus,bacteria,Moineauvirus,Aliceevansviridae,282,6.20e-16,2,0,1,"CAZy(lytic_exoenzyme,class待定);GH(class)",0,no,71.33,Medium-quality,AF-A0A0E2Q2U3-F1,86.1,14,肽聚糖（推断）,0.11,革兰阳性,0.612
NC_002214_28,lysin,Streptococcus,bacteria,Brussowvirus,Aliceevansviridae,282,6.20e-16,2,0,1,"CAZy(lytic_exoenzyme,class待定);GH(class)",0,no,73.71,Medium-quality,AF-A0A0E2Q2U3-F1,86.1,14,肽聚糖（推断）,0.107,革兰阳性,0.6116
NC_061421_312,depolymerase,Klebsiella,bacteria,Maaswegvirus,Chimalliviridae,680,3.50e-20,1,0,1,none,0,no,99.76,High-quality,,,,未知,0.144,CRKP/PA/AB 临床重点菌,0.6113
PX596819_40,lysin,Escherichia,bacteria,Unclassified,Unclassified,1463,7.50e-291,,,,none,0,no,95.42,High-quality,,,,未知,0.209,其他革兰阴性/细菌,0.6113
NC_028895_47,holin,Vibrio,bacteria,Jesfedecavirus,Demerecviridae,223,1.50e-16,1,0,0,none,1,yes,100.0,Complete,,,,膜成孔（内溶素协同，推断）,0.604,其他革兰阴性/细菌,0.6111
NC_047882_54,holin,Vibrio,bacteria,Jesfedecavirus,Demerecviridae,223,1.50e-16,1,0,0,none,1,yes,100.0,Complete,,,,膜成孔（内溶素协同，推断）,0.604,其他革兰阴性/细菌,0.6111
NC_070661_21,lysin,Streptococcus,bacteria,Moineauvirus,Aliceevansviridae,201,4.30e-16,2,0,1,"CAZy(lytic_exoenzyme,class待定);GH(class)",0,no,72.02,Medium-quality,AF-A0A2X3UWW3-F1,86.8,18,肽聚糖（推断）,0.09,革兰阳性,0.6111
OM355495_2,lysin,Escherichia,bacteria,Kayfunavirus,Autotranscriptaviridae,1463,2.70e-289,,,,none,0,no,100.0,Complete,,,,未知,0.207,其他革兰阴性/细菌,0.611
NC_000872_21,lysin,Streptococcus,bacteria,Moineauvirus,Aliceevansviridae,282,6.20e-16,2,0,1,"CAZy(lytic_exoenzyme,class待定);GH(class)",0,no,77.85,Medium-quality,AF-A0A0E2Q2U3-F1,86.1,14,肽聚糖（推断）,0.103,革兰阳性,0.611
OQ680138_37,lysin,Escherichia,bacteria,Kayfunavirus,Autotranscriptaviridae,1463,2.70e-289,,,,none,0,no,100.0,Complete,,,,未知,0.206,其他革兰阴性/细菌,0.6109
NC_071060_21,lysin,Streptococcus,bacteria,Vansinderenvirus,Aliceevansviridae,201,4.30e-16,2,0,1,"CAZy(lytic_exoenzyme,class待定);GH(class)",0,no,69.03,Medium-quality,AF-A0A0E2Q2U3-F1,86.1,14,肽聚糖（推断）,0.095,革兰阳性,0.6108
NC_047829_40,lysin,Escherichia,bacteria,Kayfunavirus,Autotranscriptaviridae,1463,2.40e-293,,,,none,0,no,93.35,High-quality,,,,未知,0.202,其他革兰阴性/细菌,0.6103
NC_091964_87,lysin,Serratia,bacteria,Unclassified,Unclassified,2275,2.10e-16,1,0,1,GH23,0,no,72.42,Medium-quality,,,,肽聚糖（推断）,0.705,其他革兰阴性/细菌,0.6103
OP272492_22,lysin,Enterobacter,bacteria,Kayfunavirus,Autotranscriptaviridae,91,1.60e-293,,,,none,0,no,91.55,High-quality,,,,未知,0.202,其他革兰阴性/细菌,0.6103
NC_002185_45,lysin,Streptococcus,bacteria,Moineauvirus,Aliceevansviridae,282,4.30e-17,2,0,1,"CAZy(lytic_exoenzyme,class待定);GH(class)",0,no,68.98,Medium-quality,AF-A0A0E2Q2U3-F1,86.1,14,肽聚糖（推断）,0.046,革兰阳性,0.6102
PV662128_265,lysin,Raoultella,bacteria,Unclassified,Unclassified,2269,1.10e-25,1,0,1,GH18/19,2,no,87.85,Medium-quality,AF-A0A966HDQ7-F1,35.7,37,肽聚糖（推断）,0.035,其他革兰阴性/细菌,0.6102
OM937123_2,lysin,Escherichia,bacteria,Kayfunavirus,Autotranscriptaviridae,1464,7.50e-291,,,,none,1,no,100.0,Complete,,,,未知,0.201,其他革兰阴性/细菌,0.6101
PX997131.1_43,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,672,1.30e-19,,,,none,0,no,83.42,Medium-quality,,,,未知,0.294,CRKP/PA/AB 临床重点菌,0.61
OQ790161_291,lysin,Xanthomonas,bacteria,Unclassified,Unclassified,2554,3.50e-14,1,0,1,GH23,4,no,99.93,High-quality,,,,肽聚糖（推断）,0.399,其他革兰阴性/细菌,0.6096
MN871449_117,depolymerase,Serratia,bacteria,Unclassified,Unclassified,662,3.20e-32,1,0,0,none,0,yes,99.65,High-quality,,,,未知,0.596,其他革兰阴性/细菌,0.6094
ON113345_14,lysin,Staphylococcus,bacteria,Unclassified,Unclassified,479,9.90e-47,3,1,2,none,0,no,85.38,Medium-quality,AF-A0A9D1CZF5-F1,83.4,35,未知,0.128,革兰阳性,0.6093
PP889495_21,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,1172,6.80e-11,,,,none,0,no,95.65,High-quality,AF-A0A8B4TWT2-F1,74.8,81,未知,0.428,CRKP/PA/AB 临床重点菌,0.6092
PP034389_45,lysin,Staphylococcus,bacteria,Sextaecvirus,Unclassified,230,1.10e-23,1,0,1,none,0,no,71.78,Medium-quality,AF-A0AAE5F0A1-F1,83.4,30,未知,0.307,革兰阳性,0.6092
MN871453_71,depolymerase,Serratia,bacteria,Unclassified,Unclassified,662,3.20e-32,1,0,0,none,0,yes,99.25,High-quality,,,,未知,0.594,其他革兰阴性/细菌,0.6091
PV615263_55,lysin,Escherichia,bacteria,Kayfunavirus,Autotranscriptaviridae,67,4.90e-299,,,,none,0,no,93.44,High-quality,,,,未知,0.194,其他革兰阴性/细菌,0.6091
PP034387_39,lysin,Staphylococcus,bacteria,Sextaecvirus,Unclassified,210,1.10e-23,1,0,1,none,0,yes,71.4,Medium-quality,AF-A0AAE5F0A1-F1,83.4,30,未知,0.306,革兰阳性,0.6091
OR354834_75,lysin,Staphylococcus,bacteria,Sextaecvirus,Unclassified,210,1.10e-23,1,0,1,none,0,yes,72.92,Medium-quality,AF-A0AAE5F0A1-F1,83.4,30,未知,0.306,革兰阳性,0.6091
OX461087_56,depolymerase,Escherichia,bacteria,Unclassified,Unclassified,260,3.30e-141,,,,none,2,yes,88.12,Medium-quality,,,,未知,0.192,其他革兰阴性/细菌,0.6088
PV112478_198,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,853,1.60e-08,3,0,2,none,0,no,100.0,Complete,,,,未知,0.378,CRKP/PA/AB 临床重点菌,0.6087
OP272491_14,lysin,Enterobacter,bacteria,Kayfunavirus,Autotranscriptaviridae,166,7.70e-34,,,,none,0,yes,93.21,High-quality,,,,未知,0.19,其他革兰阴性/细菌,0.6085
MT596499_14,lysin,Staphylococcus,bacteria,Sextaecvirus,Unclassified,230,1.10e-23,1,0,1,none,0,no,71.21,Medium-quality,AF-A0AAE5F0A1-F1,83.4,30,未知,0.302,革兰阳性,0.6085
OP558004_46,depolymerase,Klebsiella,bacteria,Webervirus,Drexlerviridae,743,5.10e-09,1,0,0,none,0,no,92.22,High-quality,AF-A0A422ZGC9-F1,86.9,35,未知,0.251,CRKP/PA/AB 临床重点菌,0.6083
OQ355701_116,lysin,Staphylococcus,bacteria,Sextaecvirus,Unclassified,210,1.10e-23,1,0,1,none,0,yes,70.38,Medium-quality,AF-A0AAE5F0A1-F1,83.4,30,未知,0.301,革兰阳性,0.6083
OR354839_87,lysin,Staphylococcus,bacteria,Sextaecvirus,Unclassified,210,1.10e-23,1,0,1,none,0,yes,70.72,Medium-quality,AF-A0AAE5F0A1-F1,83.4,30,未知,0.301,革兰阳性,0.6083
PX437820.1_26,lysin,Aeromonas,bacteria,Teseptimavirus,Autotranscriptaviridae,82,1.60e-42,,,,none,0,yes,98.62,High-quality,,,,未知,0.185,其他革兰阴性/细菌,0.6078
MZ417348_16,lysin,Staphylococcus,bacteria,Sextaecvirus,Unclassified,210,1.10e-23,1,0,1,none,0,yes,69.59,Medium-quality,AF-A0AAE5F0A1-F1,83.4,30,未知,0.297,革兰阳性,0.6077
MZ234011_51,lysin,Escherichia,bacteria,Kayfunavirus,Autotranscriptaviridae,195,1.60e-293,,,,none,0,no,94.92,High-quality,,,,未知,0.184,其他革兰阴性/细菌,0.6076
MG708273_10,lysin,Streptococcus,bacteria,Moineauvirus,Aliceevansviridae,282,3.50e-15,2,0,1,"CAZy(lytic_exoenzyme,class待定);GH(class)",0,no,58.89,Medium-quality,AF-A0A0E2Q2U3-F1,86.1,14,肽聚糖（推断）,0.114,革兰阳性,0.6076
NC_071072_26,lysin,Streptococcus,bacteria,Brussowvirus,Aliceevansviridae,282,3.50e-15,2,0,1,"CAZy(lytic_exoenzyme,class待定);GH(class)",0,no,67.74,Medium-quality,AF-A0A0E2Q2U3-F1,86.1,14,肽聚糖（推断）,0.114,革兰阳性,0.6076
MN813052_67,lysin,Dickeya,bacteria,Limestonevirus,Ackermannviridae,265,1.40e-16,2,0,1,CBM(class);GH(class),0,yes,90.11,High-quality,,,,肽聚糖（推断）,0.544,其他革兰阴性/细菌,0.6073
ON602749_14,depolymerase,Klebsiella,bacteria,Kaypoctavirus,Schitoviridae,839,8.90e-14,1,1,0,none,2,no,92.13,High-quality,,,,未知,0.401,CRKP/PA/AB 临床重点菌,0.6072
PQ374922_87,lysin,Escherichia,bacteria,Unclassified,Unclassified,265,1.40e-16,2,0,1,CBM(class);GH(class),0,yes,93.33,High-quality,,,,肽聚糖（推断）,0.542,其他革兰阴性/细菌,0.607
OQ973471_101,lysin,Escherichia,bacteria,Unclassified,Ackermannviridae,265,1.40e-16,2,0,1,CBM(class);GH(class),0,yes,94.65,High-quality,,,,肽聚糖（推断）,0.542,其他革兰阴性/细菌,0.607
NC_049503_96,lysin,Salmonella,bacteria,Kuttervirus,Ackermannviridae,265,1.40e-16,2,0,1,CBM(class);GH(class),0,yes,94.94,High-quality,,,,肽聚糖（推断）,0.542,其他革兰阴性/细菌,0.607
MZ234021_53,lysin,Escherichia,bacteria,Kayfunavirus,Autotranscriptaviridae,195,1.60e-293,,,,none,0,no,94.57,High-quality,,,,未知,0.179,其他革兰阴性/细菌,0.6069
OR529409_196,lysin,Stenotrophomonas,bacteria,Unclassified,Unclassified,2269,1.10e-25,1,0,1,GH18/19,2,no,86.15,Medium-quality,AF-A0A966HDQ7-F1,35.7,37,肽聚糖（推断）,0.012,其他革兰阴性/细菌,0.6067
PP738763_34,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,843,8.90e-14,1,1,0,none,2,no,95.4,High-quality,,,,未知,0.397,CRKP/PA/AB 临床重点菌,0.6066
NC_016571_271,lysin,Pseudomonas,bacteria,Petsuvirus,Chimalliviridae,2433,5.20e-18,0,0,1,none,0,no,96.66,High-quality,,,,未知,0.341,CRKP/PA/AB 临床重点菌,0.6064
OR776998_70,lysin,Escherichia,bacteria,Unclassified,Ackermannviridae,265,1.40e-16,2,0,1,CBM(class);GH(class),0,yes,93.5,High-quality,,,,肽聚糖（推断）,0.538,其他革兰阴性/细菌,0.6064
OL656110_77,lysin,Escherichia,bacteria,Unclassified,Ackermannviridae,265,1.40e-16,2,0,1,CBM(class);GH(class),0,yes,93.49,High-quality,,,,肽聚糖（推断）,0.538,其他革兰阴性/细菌,0.6064
ON602751_20,depolymerase,Klebsiella,bacteria,Kaypoctavirus,Schitoviridae,839,8.90e-14,1,1,0,none,2,no,100.0,Complete,,,,未知,0.395,CRKP/PA/AB 临床重点菌,0.6063
OR354840_69,lysin,Staphylococcus,bacteria,Sextaecvirus,Unclassified,126,1.10e-23,1,0,0,none,0,no,86.87,Medium-quality,AF-A0AAP6W3N7-F1,72.9,12,未知,0.392,革兰阳性,0.6062
NC_007056_28,lysin,Staphylococcus,bacteria,Phietavirus,Unclassified,483,6.60e-69,3,1,2,none,0,no,93.38,High-quality,AF-A0AAX0ZEP4-F1,84.2,26,未知,0.098,革兰阳性,0.606
MZ234047_51,lysin,Escherichia,bacteria,Kayfunavirus,Autotranscriptaviridae,195,1.60e-293,,,,none,0,no,94.44,High-quality,,,,未知,0.173,其他革兰阴性/细菌,0.6059
OL615013_115,lysin,Shigella,bacteria,Agtrevirus,Ackermannviridae,265,1.40e-16,2,0,1,CBM(class);GH(class),0,yes,96.32,High-quality,,,,肽聚糖（推断）,0.534,其他革兰阴性/细菌,0.6058
NC_049455_189,lysin,Shigella,bacteria,Agtrevirus,Ackermannviridae,265,1.40e-16,2,0,1,CBM(class);GH(class),0,yes,100.0,Complete,,,,肽聚糖（推断）,0.534,其他革兰阴性/细菌,0.6058
PP001500_111,lysin,Salmonella,bacteria,Agtrevirus,Ackermannviridae,265,1.40e-16,2,0,1,CBM(class);GH(class),0,yes,92.01,High-quality,,,,肽聚糖（推断）,0.534,其他革兰阴性/细菌,0.6058
PZ196028.1_80,lysin,Enterobacter,bacteria,Unclassified,Unclassified,265,1.40e-16,2,0,1,CBM(class);GH(class),0,yes,95.25,High-quality,,,,肽聚糖（推断）,0.534,其他革兰阴性/细菌,0.6058
NC_013693_84,lysin,Shigella,bacteria,Agtrevirus,Ackermannviridae,265,1.40e-16,2,0,1,CBM(class);GH(class),0,yes,95.69,High-quality,,,,肽聚糖（推断）,0.534,其他革兰阴性/细菌,0.6058
OR449012_124,lysin,Salmonella,bacteria,Kuttervirus,Ackermannviridae,265,1.40e-16,2,0,1,CBM(class);GH(class),0,yes,94.48,High-quality,,,,肽聚糖（推断）,0.534,其他革兰阴性/细菌,0.6058
OX335395_35,depolymerase,Klebsiella,bacteria,Webervirus,Drexlerviridae,748,2.30e-09,1,0,0,none,0,no,95.82,High-quality,AF-A0A844PSZ7-F1,86.0,55,未知,0.225,CRKP/PA/AB 临床重点菌,0.6053
MZ234009_52,lysin,Escherichia,bacteria,Kayfunavirus,Autotranscriptaviridae,195,1.60e-293,,,,none,0,no,92.03,High-quality,,,,未知,0.168,其他革兰阴性/细菌,0.6052
ON602735_8,depolymerase,Klebsiella,bacteria,Webervirus,Drexlerviridae,743,5.10e-09,1,0,0,none,0,no,92.01,High-quality,AF-A0A422ZGC9-F1,86.9,35,未知,0.23,CRKP/PA/AB 临床重点菌,0.6051
PV891801_156,depolymerase,Klebsiella,bacteria,Taipeivirus,Ackermannviridae,769,1.80e-17,0,0,1,none,0,yes,100.0,Complete,AF-A0A423A248-F1,76.9,38,未知,0.087,CRKP/PA/AB 临床重点菌,0.605
OL615011_171,depolymerase,Shigella,bacteria,Agtrevirus,Ackermannviridae,1001,3.10e-153,,,,none,1,yes,96.02,High-quality,,,,未知,0.166,其他革兰阴性/细菌,0.6049
PP848842_2,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,842,2.10e-15,,,,none,0,no,92.42,High-quality,,,,未知,0.446,CRKP/PA/AB 临床重点菌,0.6048
PP738791_23,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,743,5.10e-09,1,0,0,none,0,no,92.57,High-quality,AF-A0A422ZGC9-F1,86.9,35,未知,0.228,CRKP/PA/AB 临床重点菌,0.6048
PV683293_136,depolymerase,Klebsiella,bacteria,Unclassified,Ackermannviridae,769,1.80e-17,0,0,1,none,0,yes,93.88,High-quality,AF-A0A423A248-F1,76.9,38,未知,0.085,CRKP/PA/AB 临床重点菌,0.6047
MZ234024_52,lysin,Escherichia,bacteria,Kayfunavirus,Autotranscriptaviridae,195,1.60e-293,,,,none,0,no,92.49,High-quality,,,,未知,0.163,其他革兰阴性/细菌,0.6044
PX570736_39,lysin,Staphylococcus,bacteria,Unclassified,Unclassified,488,9.90e-34,3,1,2,none,0,no,85.23,Medium-quality,AF-A0A9X4R0S9-F1,84.7,32,未知,0.082,革兰阳性,0.6044
OP272490_96,lysin,Enterobacter,bacteria,Kayfunavirus,Autotranscriptaviridae,240,1.70e-68,,,,none,0,no,98.41,High-quality,,,,未知,0.162,其他革兰阴性/细菌,0.6043
PX531244_25,lysin,Staphylococcus,bacteria,Unclassified,Unclassified,475,4.70e-46,3,1,2,none,0,no,89.52,Medium-quality,AF-A0A0M2NT56-F1,86.2,27,未知,0.065,革兰阳性,0.604
PV615262_2,lysin,Escherichia,bacteria,Kayfunavirus,Autotranscriptaviridae,554,1.60e-293,,,,none,0,no,93.46,High-quality,,,,未知,0.159,其他革兰阴性/细菌,0.6038
NC_048680_57,lysin,Lactobacillus,bacteria,Junavirus,Unclassified,317,8.70e-21,1,0,1,GH(class),0,no,83.93,Medium-quality,AF-A0A422MD01-F1,80.7,16,肽聚糖（推断）,0.025,革兰阳性,0.6035
PP239276_107,depolymerase,Escherichia,bacteria,Justusliebigvirus,Unclassified,553,3.30e-141,,,,none,0,no,100.0,Complete,,,,未知,0.156,其他革兰阴性/细菌,0.6034
NC_012753_41,lysin,Streptococcus,bacteria,Vansinderenvirus,Aliceevansviridae,282,3.50e-15,2,0,1,"CAZy(lytic_exoenzyme,class待定);GH(class)",0,yes,75.53,Medium-quality,AF-A0A3G6JJY4-F1,83.2,16,肽聚糖（推断）,0.114,革兰阳性,0.6033
OP750248_261,holin,Unspecified,bacteria,Gaprivervirus,Straboviridae,218,5.50e-54,1,0,0,none,1,yes,94.95,High-quality,,,,膜成孔（内溶素协同，推断）,0.184,未知,0.6026
MG957431_1,lysin,Vibrio,bacteria,Chatterjeevirus,Autotranscriptaviridae,1128,1.90e-210,,,,none,0,no,88.58,Medium-quality,,,,未知,0.549,其他革兰阴性/细菌,0.6023
OP272490_15,lysin,Enterobacter,bacteria,Kayfunavirus,Autotranscriptaviridae,292,1.70e-68,,,,none,0,no,98.41,High-quality,,,,未知,0.149,其他革兰阴性/细菌,0.6023
NC_013651_42,lysin,Vibrio,bacteria,Chatterjeevirus,Autotranscriptaviridae,1128,1.90e-210,,,,none,0,no,91.43,High-quality,,,,未知,0.548,其他革兰阴性/细菌,0.6022
OR233736_4,lysin,Vibrio,bacteria,Chatterjeevirus,Autotranscriptaviridae,1128,1.90e-210,,,,none,0,no,91.44,High-quality,,,,未知,0.548,其他革兰阴性/细菌,0.6022
NC_021332_65,lysin,Staphylococcus,bacteria,Phietavirus,Unclassified,482,1.80e-95,3,1,2,none,0,no,85.92,Medium-quality,AF-A0A9P2Z032-F1,83.8,27,未知,0.077,革兰阳性,0.6022
JQ780163_45,lysin,Vibrio,bacteria,Chatterjeevirus,Autotranscriptaviridae,1125,1.90e-210,,,,none,0,no,93.22,High-quality,,,,未知,0.547,其他革兰阴性/细菌,0.602
NC_007149_47,lysin,Vibrio,bacteria,Chatterjeevirus,Autotranscriptaviridae,1125,1.90e-210,,,,none,0,no,93.25,High-quality,,,,未知,0.547,其他革兰阴性/细菌,0.602
NC_024391_63,lysin,Staphylococcus,bacteria,Phietavirus,Unclassified,482,1.80e-95,3,1,2,none,0,no,88.0,Medium-quality,AF-A0A517KMF6-F1,85.4,25,未知,0.058,革兰阳性,0.6018
KY883643_13,lysin,Vibrio,bacteria,Chatterjeevirus,Autotranscriptaviridae,1128,1.90e-210,,,,none,0,no,100.0,Complete,,,,未知,0.543,其他革兰阴性/细菌,0.6014
ON464735_42,lysin,Vibrio,bacteria,Chatterjeevirus,Autotranscriptaviridae,1128,1.90e-210,,,,none,0,no,91.05,High-quality,,,,未知,0.543,其他革兰阴性/细菌,0.6014
NC_028821_1,lysin,Staphylococcus,bacteria,Unclassified,Unclassified,488,9.90e-34,3,1,2,none,0,no,83.89,Medium-quality,AF-A0A9X4R0S9-F1,84.7,32,未知,0.062,革兰阳性,0.6014
NC_019915_63,lysin,Staphylococcus,bacteria,Unclassified,Unclassified,210,9.90e-34,1,0,1,none,0,no,83.07,Medium-quality,AF-A0A9X4R0S9-F1,84.7,32,未知,0.062,革兰阳性,0.6014
OQ939567_41,lysin,Pectobacterium,bacteria,Kayfunavirus,Autotranscriptaviridae,1489,8.70e-287,,,,none,0,no,95.05,High-quality,,,,未知,0.142,其他革兰阴性/细菌,0.6013
HQ641341_42,lysin,Vibrio,bacteria,Chatterjeevirus,Autotranscriptaviridae,1128,1.90e-210,,,,none,0,no,92.74,High-quality,,,,未知,0.542,其他革兰阴性/细菌,0.6013
MT215167_6,lysin,Vibrio,bacteria,Chatterjeevirus,Autotranscriptaviridae,1128,1.90e-210,,,,none,0,no,100.0,Complete,,,,未知,0.542,其他革兰阴性/细菌,0.6013
KY883653_11,lysin,Vibrio,bacteria,Chatterjeevirus,Autotranscriptaviridae,1128,1.90e-210,,,,none,0,no,93.41,High-quality,,,,未知,0.542,其他革兰阴性/细菌,0.6013
NC_015159_43,lysin,Vibrio,bacteria,Chatterjeevirus,Autotranscriptaviridae,1128,1.90e-210,,,,none,0,no,92.99,High-quality,,,,未知,0.542,其他革兰阴性/细菌,0.6013
NC_049384_197,lysin,Enterobacter,bacteria,Agtrevirus,Ackermannviridae,265,1.40e-16,2,0,1,CBM(class);GH(class),0,yes,97.31,High-quality,,,,肽聚糖（推断）,0.504,其他革兰阴性/细菌,0.6013
